"USER","photos","end","start","days","seconds","years","between"
"68f95e52ed3868b9f51ddeae4d0bbc3f",70,2020-09-08,2004-01-31,6065,1434677.61806982,17,2020-09-08 UTC--2004-01-31 UTC
"0154244228addba5c5308ddf97976d94",99,2020-10-17,2004-11-26,5804,1372937.98767967,16,2020-10-17 UTC--2004-11-26 UTC
"0154244228addba5c5308ddf97976d94",99,2020-10-08,2004-11-26,5795,1370809.0349076,16,2020-10-08 UTC--2004-11-26 UTC
"68f95e52ed3868b9f51ddeae4d0bbc3f",70,2019-10-01,2004-01-31,5722,1353540.862423,16,2019-10-01 UTC--2004-01-31 UTC
"68f95e52ed3868b9f51ddeae4d0bbc3f",70,2019-09-20,2004-01-31,5711,1350938.80903491,16,2019-09-20 UTC--2004-01-31 UTC
"0154244228addba5c5308ddf97976d94",99,2020-05-29,2004-11-26,5663,1339584.39425051,16,2020-05-29 UTC--2004-11-26 UTC
"0154244228addba5c5308ddf97976d94",99,2020-04-12,2004-11-26,5616,1328466.52977413,15,2020-04-12 UTC--2004-11-26 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2020-09-11,2005-06-17,5565,1316402.46406571,15,2020-09-11 UTC--2005-06-17 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2020-09-09,2005-06-17,5563,1315929.36344969,15,2020-09-09 UTC--2005-06-17 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2020-09-01,2005-06-17,5555,1314036.96098563,15,2020-09-01 UTC--2005-06-17 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2020-08-31,2005-06-17,5554,1313800.41067762,15,2020-08-31 UTC--2005-06-17 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2020-08-25,2005-06-17,5548,1312381.10882957,15,2020-08-25 UTC--2005-06-17 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2020-08-20,2005-06-17,5543,1311198.35728953,15,2020-08-20 UTC--2005-06-17 UTC
"240d5e7ac8fa28572f94fc0bb297fd73",112,2020-08-19,2005-06-17,5542,1310961.80698152,15,2020-08-19 UTC--2005-06-17 UTC
"0154244228addba5c5308ddf97976d94",99,2020-01-20,2004-11-26,5533,1308832.85420945,15,2020-01-20 UTC--2004-11-26 UTC
"e96b50998b9a4af145119ce55ce04c18",42,2019-10-20,2004-09-15,5513,1304101.84804928,15,2019-10-20 UTC--2004-09-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-10-30,2006-01-15,5402,1277844.76386037,15,2020-10-30 UTC--2006-01-15 UTC
"68f95e52ed3868b9f51ddeae4d0bbc3f",70,2018-10-04,2004-01-31,5360,1267909.65092402,15,2018-10-04 UTC--2004-01-31 UTC
"0154244228addba5c5308ddf97976d94",99,2019-07-16,2004-11-26,5345,1264361.3963039,15,2019-07-16 UTC--2004-11-26 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-08-17,2006-01-15,5328,1260340.04106776,15,2020-08-17 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-08-01,2006-01-15,5312,1256555.23613963,15,2020-08-01 UTC--2006-01-15 UTC
"914222bd7c4aa4a77bda520574543d2c",9,2019-09-21,2005-03-13,5305,1254899.38398357,15,2019-09-21 UTC--2005-03-13 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-07-14,2006-01-15,5294,1252297.33059548,14,2020-07-14 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-07-09,2006-01-15,5289,1251114.57905544,14,2020-07-09 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-07-04,2006-01-15,5284,1249931.8275154,14,2020-07-04 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-06-24,2006-01-15,5274,1247566.32443532,14,2020-06-24 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-03-19,2006-01-15,5177,1224620.94455852,14,2020-03-19 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-03-17,2006-01-15,5175,1224147.84394251,14,2020-03-17 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-03-16,2006-01-15,5174,1223911.2936345,14,2020-03-16 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-01-18,2006-01-15,5116,1210191.37577002,14,2020-01-18 UTC--2006-01-15 UTC
"fb636d9587c359113be242ff901737f4",2,2019-06-06,2005-06-07,5112,1209245.17453799,14,2019-06-06 UTC--2005-06-07 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2020-01-05,2006-01-15,5103,1207116.22176591,14,2020-01-05 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-12-08,2006-01-15,5075,1200492.81314168,14,2019-12-08 UTC--2006-01-15 UTC
"c8516f221ffbefb809148bf09a7beace",938,2020-03-19,2006-04-30,5072,1199783.16221766,14,2020-03-19 UTC--2006-04-30 UTC
"a94939b978957125ff615d9fba47b1ea",126,2019-06-08,2005-08-16,5044,1193159.75359343,14,2019-06-08 UTC--2005-08-16 UTC
"0154244228addba5c5308ddf97976d94",99,2018-09-15,2004-11-26,5041,1192450.1026694,14,2018-09-15 UTC--2004-11-26 UTC
"0154244228addba5c5308ddf97976d94",99,2018-09-11,2004-11-26,5037,1191503.90143737,14,2018-09-11 UTC--2004-11-26 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-10-13,2006-01-15,5019,1187245.99589322,14,2019-10-13 UTC--2006-01-15 UTC
"0154244228addba5c5308ddf97976d94",99,2018-08-05,2004-11-26,5000,1182751.54004107,14,2018-08-05 UTC--2004-11-26 UTC
"e5fc280babda7a02a555199e350aa6b6",27,2020-08-20,2007-01-11,4970,1175655.03080082,14,2020-08-20 UTC--2007-01-11 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-08-18,2006-01-15,4963,1173999.17864476,14,2019-08-18 UTC--2006-01-15 UTC
"92487a5dd1e35c2b1b02d2694f89101a",88,2019-01-29,2005-07-09,4952,1171397.12525667,14,2019-01-29 UTC--2005-07-09 UTC
"0154244228addba5c5308ddf97976d94",99,2018-06-17,2004-11-26,4951,1171160.57494867,14,2018-06-17 UTC--2004-11-26 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-08-04,2006-01-15,4949,1170687.47433265,14,2019-08-04 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-07-27,2006-01-15,4941,1168795.07186858,14,2019-07-27 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-07-17,2006-01-15,4931,1166429.5687885,14,2019-07-17 UTC--2006-01-15 UTC
"914222bd7c4aa4a77bda520574543d2c",9,2018-08-27,2005-03-13,4915,1162644.76386037,13,2018-08-27 UTC--2005-03-13 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-06-02,2006-01-15,4886,1155784.80492813,13,2019-06-02 UTC--2006-01-15 UTC
"192b3985064b137890eb3737348fecc8",121,2019-09-04,2006-04-24,4881,1154602.05338809,13,2019-09-04 UTC--2006-04-24 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-05-04,2006-01-15,4857,1148924.84599589,13,2019-05-04 UTC--2006-01-15 UTC
"14db519757d813c2da0c8e24fc2dbca0",320,2019-04-23,2006-01-15,4846,1146322.7926078,13,2019-04-23 UTC--2006-01-15 UTC
"753155953699eaf212109ec998b4d168",126,2018-04-02,2005-01-04,4836,1143957.28952772,13,2018-04-02 UTC--2005-01-04 UTC
"753155953699eaf212109ec998b4d168",126,2018-04-01,2005-01-04,4835,1143720.73921971,13,2018-04-01 UTC--2005-01-04 UTC
"28f618c02bd1453fdf625c68c0a13937",7,2020-10-25,2007-08-01,4834,1143484.1889117,13,2020-10-25 UTC--2007-08-01 UTC
"753155953699eaf212109ec998b4d168",126,2018-03-31,2005-01-04,4834,1143484.1889117,13,2018-03-31 UTC--2005-01-04 UTC
"753155953699eaf212109ec998b4d168",126,2018-03-30,2005-01-04,4833,1143247.6386037,13,2018-03-30 UTC--2005-01-04 UTC
"68f95e52ed3868b9f51ddeae4d0bbc3f",70,2017-04-24,2004-01-31,4832,1143011.08829569,13,2017-04-24 UTC--2004-01-31 UTC
